  Year   Month  Anomaly  Unc.    Anomaly  Unc.    Anomaly  Unc.    Anomaly  Unc.    Anomaly  Unc.
 
  1750     1     0.125    NaN       NaN    NaN       NaN    NaN       NaN    NaN       NaN    NaN
  1750     2     0.157    NaN       NaN    NaN       NaN    NaN       NaN    NaN       NaN    NaN
  1750     3     0.065    NaN       NaN    NaN       NaN    NaN       NaN    NaN       NaN    NaN
  1750     4    -0.435    NaN       NaN    NaN       NaN    NaN       NaN    NaN       NaN    NaN
  1750     5    -0.233    NaN       NaN    NaN       NaN    NaN       NaN    NaN       NaN    NaN
  1750     6    -0.499    NaN       NaN    NaN       NaN    NaN       NaN    NaN       NaN    NaN
  1750     7     1.424    NaN       NaN    NaN       NaN    NaN       NaN    NaN       NaN    NaN
  1750     8     0.254    NaN       NaN    NaN       NaN    NaN       NaN    NaN       NaN    NaN
  1750     9    -1.326    NaN       NaN    NaN       NaN    NaN       NaN    NaN       NaN    NaN
  1750    10    -3.004    NaN       NaN    NaN       NaN    NaN       NaN    NaN       NaN    NaN
  1750    11       NaN    NaN       NaN    NaN       NaN    NaN       NaN    NaN       NaN    NaN
  1750    12    -1.726    NaN       NaN    NaN       NaN    NaN       NaN    NaN       NaN    NaN
  1751     1    -0.458    NaN       NaN    NaN       NaN    NaN       NaN    NaN       NaN    NaN
  1751     2    -2.304    NaN       NaN    NaN       NaN    NaN       NaN    NaN       NaN    NaN
  1751     3     0.695    NaN       NaN    NaN       NaN    NaN       NaN    NaN       NaN    NaN
  1751     4    -0.714    NaN       NaN    NaN       NaN    NaN       NaN    NaN       NaN    NaN
  1751     5       NaN    NaN       NaN    NaN       NaN    NaN       NaN    NaN       NaN    NaN
  1751     6     0.442    NaN       NaN    NaN       NaN    NaN       NaN    NaN       NaN    NaN
  1751     7       NaN    NaN       NaN    NaN       NaN    NaN       NaN    NaN       NaN    NaN
  1751     8    -0.045    NaN       NaN    NaN       NaN    NaN       NaN    NaN       NaN    NaN
  1751     9    -1.972    NaN       NaN    NaN       NaN    NaN       NaN    NaN       NaN    NaN
  1751    10       NaN    NaN       NaN    NaN       NaN    NaN       NaN    NaN       NaN    NaN
  1751    11       NaN    NaN       NaN    NaN       NaN    NaN       NaN    NaN       NaN    NaN
  1751    12       NaN    NaN       NaN    NaN       NaN    NaN       NaN    NaN       NaN    NaN
  1752     1    -2.927  3.127       NaN    NaN       NaN    NaN       NaN    NaN       NaN    NaN
  1752     2       NaN    NaN       NaN    NaN       NaN    NaN       NaN    NaN       NaN    NaN
  1752     3     0.858  2.453       NaN    NaN       NaN    NaN       NaN    NaN       NaN    NaN
  1752     4    -0.697  1.934       NaN    NaN       NaN    NaN       NaN    NaN       NaN    NaN
  1752     5       NaN    NaN       NaN    NaN       NaN    NaN       NaN    NaN       NaN    NaN
  1752     6       NaN    NaN       NaN    NaN       NaN    NaN       NaN    NaN       NaN    NaN
  1752     7       NaN    NaN       NaN    NaN       NaN    NaN       NaN    NaN       NaN    NaN
  1752     8       NaN    NaN       NaN    NaN       NaN    NaN       NaN    NaN       NaN    NaN
  1752     9       NaN    NaN       NaN    NaN       NaN    NaN       NaN    NaN       NaN    NaN
  1752    10    -1.613  1.692       NaN    NaN       NaN    NaN       NaN    NaN       NaN    NaN
  1752    11     0.704  2.046       NaN    NaN       NaN    NaN       NaN    NaN       NaN    NaN
  1752    12     0.353  2.580       NaN    NaN       NaN    NaN       NaN    NaN       NaN    NaN
  1753     1    -1.137  4.344       NaN    NaN       NaN    NaN       NaN    NaN       NaN    NaN
  1753     2    -2.063  5.416       NaN    NaN       NaN    NaN       NaN    NaN       NaN    NaN
  1753     3     0.421  4.064    -0.207  0.823       NaN    NaN       NaN    NaN       NaN    NaN
  1753     4    -0.784  3.123    -0.114  0.813       NaN    NaN       NaN    NaN       NaN    NaN
  1753     5     0.236  1.996    -0.277  0.776       NaN    NaN       NaN    NaN       NaN    NaN
  1753     6     1.124  2.596    -0.652  1.102       NaN    NaN       NaN    NaN       NaN    NaN
  1753     7     0.545  2.246    -0.691  1.138       NaN    NaN       NaN    NaN       NaN    NaN
  1753     8    -0.697  2.989    -0.854  1.170       NaN    NaN       NaN    NaN       NaN    NaN
  1753     9     0.434  2.515    -0.992  1.155       NaN    NaN       NaN    NaN       NaN    NaN
  1753    10    -0.500  1.643    -0.690  0.975       NaN    NaN       NaN    NaN       NaN    NaN
  1753    11    -1.251  2.133    -0.708  1.055       NaN    NaN       NaN    NaN       NaN    NaN
  1753    12    -4.143  4.320    -0.726  1.058       NaN    NaN       NaN    NaN       NaN    NaN
  1754     1    -1.609  5.209    -0.758  1.095       NaN    NaN       NaN    NaN       NaN    NaN
  1754     2    -4.014  6.600    -0.810  1.166       NaN    NaN       NaN    NaN       NaN    NaN
  1754     3    -1.230  3.449    -0.995  1.205       NaN    NaN       NaN    NaN       NaN    NaN
  1754     4     2.832  1.836    -0.933  1.253       NaN    NaN       NaN    NaN       NaN    NaN
  1754     5     0.028  3.456    -0.868  1.302       NaN    NaN       NaN    NaN       NaN    NaN
  1754     6     0.905  2.797    -0.534  1.175       NaN    NaN       NaN    NaN       NaN    NaN
  1754     7     0.154  1.992    -0.586  1.280       NaN    NaN       NaN    NaN       NaN    NaN
  1754     8    -1.318  2.334    -0.481  1.351       NaN    NaN       NaN    NaN       NaN    NaN
  1754     9    -1.788  2.478    -0.481  1.293       NaN    NaN       NaN    NaN       NaN    NaN
  1754    10     0.241  1.829    -0.697  0.966       NaN    NaN       NaN    NaN       NaN    NaN
  1754    11    -0.460  2.654    -0.626  0.821       NaN    NaN       NaN    NaN       NaN    NaN
  1754    12    -0.141  2.339    -0.538  0.862       NaN    NaN       NaN    NaN       NaN    NaN
  1755     1    -2.229  5.148    -0.577  0.946       NaN    NaN       NaN    NaN       NaN    NaN
  1755     2    -2.761  5.342    -0.585  0.962       NaN    NaN       NaN    NaN       NaN    NaN
  1755     3    -1.230  3.584    -0.526  1.005    -0.294  0.408       NaN    NaN       NaN    NaN
  1755     4     0.241  2.961    -0.637  1.114    -0.322  0.401       NaN    NaN       NaN    NaN
  1755     5     0.883  2.977    -0.647  1.266    -0.378  0.423       NaN    NaN       NaN    NaN
  1755     6     1.958  4.485    -0.828  1.040    -0.448  0.519       NaN    NaN       NaN    NaN
  1755     7    -0.311  2.177    -0.585  1.226    -0.509  0.551       NaN    NaN       NaN    NaN
  1755     8    -1.413  1.538    -0.104  1.525    -0.504  0.529       NaN    NaN       NaN    NaN
  1755     9    -1.082  1.997    -0.059  1.470    -0.533  0.536       NaN    NaN       NaN    NaN
  1755    10    -1.085  3.346     0.008  1.327    -0.551  0.542       NaN    NaN       NaN    NaN
  1755    11    -0.586  3.607     0.141  1.257    -0.594  0.565       NaN    NaN       NaN    NaN
  1755    12    -2.308  4.749     0.070  1.144    -0.621  0.549       NaN    NaN       NaN    NaN
  1756     1     0.686  3.489     0.031  1.164    -0.644  0.530       NaN    NaN       NaN    NaN
  1756     2     3.014  3.072     0.026  1.228    -0.681  0.525       NaN    NaN       NaN    NaN
  1756     3    -0.699  4.189     0.100  1.219    -0.735  0.513       NaN    NaN       NaN    NaN
  1756     4     1.045  2.157     0.015  1.187    -0.837  0.593       NaN    NaN       NaN    NaN
  1756     5     2.489  2.710    -0.133  1.208    -0.810  0.652       NaN    NaN       NaN    NaN
  1756     6     1.095  2.589    -0.170  1.309    -0.763  0.701       NaN    NaN       NaN    NaN
  1756     7    -0.779  1.716    -0.508  1.323    -0.705  0.738       NaN    NaN       NaN    NaN
  1756     8    -1.466  3.642    -0.664  1.290    -0.622  0.806       NaN    NaN       NaN    NaN
  1756     9    -0.198  2.058    -0.634  1.008    -0.613  0.847       NaN    NaN       NaN    NaN
  1756    10    -2.101  2.229    -0.788  0.907    -0.712  0.916       NaN    NaN       NaN    NaN
  1756    11    -2.361  2.521    -0.911  0.825    -0.742  0.969       NaN    NaN       NaN    NaN
  1756    12    -2.752  4.146    -0.696  0.855    -0.760  0.983       NaN    NaN       NaN    NaN
  1757     1    -3.376  4.011    -0.380  0.946    -0.800  0.987       NaN    NaN       NaN    NaN
  1757     2     1.141  3.252    -0.009  1.014    -0.779  0.945       NaN    NaN       NaN    NaN
  1757     3    -0.338  2.856     0.161  1.082    -0.751  0.930       NaN    NaN       NaN    NaN
  1757     4    -0.803  3.776     0.061  1.264    -0.777  0.981       NaN    NaN       NaN    NaN
  1757     5     1.015  3.209     0.036  1.187    -0.810  1.043       NaN    NaN       NaN    NaN
  1757     6     3.680  3.375    -0.056  0.929    -0.878  1.166       NaN    NaN       NaN    NaN
  1757     7     3.012  3.172    -0.176  1.284    -0.904  1.234       NaN    NaN       NaN    NaN
  1757     8     2.982  4.871    -0.417  1.331    -0.861  1.252       NaN    NaN       NaN    NaN
  1757     9     1.838  5.240    -0.500  1.331    -0.892  1.295    -0.787  0.406       NaN    NaN
  1757    10    -3.299  4.306    -0.589  1.731    -0.923  1.299    -0.801  0.403       NaN    NaN
  1757    11    -2.653  3.635    -0.868  1.966    -0.962  1.289    -0.809  0.402       NaN    NaN
  1757    12    -3.862  5.360    -1.213  2.054    -1.022  1.311    -0.828  0.910       NaN    NaN
  1758     1    -4.811  7.285    -1.536  2.316    -1.051  1.442    -0.835  0.880       NaN    NaN
  1758     2    -1.751  3.019    -2.028  2.025    -1.043  1.452    -0.833  0.884       NaN    NaN
  1758     3    -1.335  2.887    -2.412  1.734    -1.053  1.473    -0.864  0.925       NaN    NaN
  1758     4    -1.869  3.686    -2.688  1.983    -1.080  1.529    -0.868  0.907       NaN    NaN
  1758     5    -2.335  2.519    -2.441  2.412    -1.090  1.559    -0.881  0.921       NaN    NaN
  1758     6    -0.463  1.868    -2.230  2.416    -1.089  1.495    -0.900  0.936       NaN    NaN
  1758     7    -0.866  4.096    -1.671  2.169    -1.144  1.571    -0.890  0.921       NaN    NaN
  1758     8    -2.915  2.320    -1.442  2.502    -1.192  1.558    -0.891  0.916       NaN    NaN
  1758     9    -2.777  1.247    -1.389  2.664    -1.164  1.502    -0.908  0.911       NaN    NaN
  1758    10    -6.612  3.380    -1.491  2.488    -1.211  1.528    -0.937  0.936       NaN    NaN
  1758    11     0.317  5.777    -1.448  2.393    -1.229  1.482    -0.942  0.943       NaN    NaN
  1758    12    -1.327  3.661    -1.424  2.562    -1.192  1.520    -0.907  0.943       NaN    NaN
  1759     1     1.890  4.090    -1.538  2.577    -1.104  1.516    -0.900  0.936       NaN    NaN
  1759     2     0.999  5.029    -1.300  2.367    -1.075  1.469    -0.842  0.934       NaN    NaN
  1759     3    -0.698  2.176    -1.078  2.409    -1.078  1.458    -0.832  0.955       NaN    NaN
  1759     4    -3.096  3.693    -0.634  1.964    -1.079  1.506    -0.866  1.014       NaN    NaN
  1759     5    -1.817  1.640    -0.863  1.842    -1.067  1.537    -0.875  1.078       NaN    NaN
  1759     6    -0.172  2.700    -1.106  2.185    -1.118  1.535    -0.897  1.087       NaN    NaN
  1759     7    -2.233  1.907    -1.582  2.132    -1.001  1.473    -0.915  1.102       NaN    NaN
  1759     8    -0.066  4.590    -1.680  1.753    -0.984  1.422    -0.916  1.083       NaN    NaN
  1759     9    -0.113  2.782    -1.879  1.823    -1.002  1.411    -0.911  1.060       NaN    NaN
  1759    10    -1.282  2.985    -1.757  1.900    -0.990  1.466    -0.905  1.063       NaN    NaN
  1759    11    -2.434  3.702    -1.726  1.897    -1.028  1.523    -0.900  1.061       NaN    NaN
  1759    12    -4.236  5.129    -1.848  1.842    -1.088  1.586    -0.880  1.045       NaN    NaN
  1760     1    -3.831  3.251    -1.830  2.342    -1.137  1.637    -0.850  1.040       NaN    NaN
  1760     2    -0.168  3.435    -1.905  2.499    -1.206  1.530    -0.825  1.062       NaN    NaN
  1760     3    -3.088  3.445    -2.037  2.642    -1.280  1.518    -0.806  1.074       NaN    NaN
  1760     4    -1.632  2.755    -2.153  2.585    -1.280  1.471    -0.802  1.061       NaN    NaN
  1760     5    -1.444  1.835    -2.050  2.314    -1.240  1.489    -0.814  1.047       NaN    NaN
  1760     6    -1.637  1.713    -1.883  1.821    -1.207  1.514    -0.852  1.093       NaN    NaN
  1760     7    -2.017  2.226    -1.784  1.924    -1.160  1.392    -0.854  1.083       NaN    NaN
  1760     8    -0.966  2.029    -1.757  1.879    -1.162  1.422    -0.846  1.082       NaN    NaN
  1760     9    -1.701  2.650    -1.417  1.795    -1.196  1.490    -0.844  1.076       NaN    NaN
  1760    10    -2.675  2.474    -1.432  1.699    -1.184  1.447    -0.845  1.095       NaN    NaN
  1760    11    -1.191  2.068    -1.194  1.700    -1.167  1.436    -0.841  1.124       NaN    NaN
  1760    12    -2.234  2.501    -0.778  1.679    -1.180  1.486    -0.827  1.084       NaN    NaN
  1761     1    -2.646  4.770    -0.234  1.215    -1.136  1.473    -0.859  1.114       NaN    NaN
  1761     2     0.160  3.183    -0.133  1.204    -1.102  1.467    -0.874  1.117       NaN    NaN
  1761     3     0.990  2.091    -0.024  1.073    -1.082  1.475    -0.866  1.097       NaN    NaN
  1761     4    -1.812  2.158     0.018  1.061    -1.037  1.398    -0.878  1.117       NaN    NaN
  1761     5     1.416  2.196    -0.015  1.189    -1.074  1.337    -0.898  1.095       NaN    NaN
  1761     6     3.353  3.904    -0.314  1.530    -1.051  1.288    -0.908  1.134       NaN    NaN
  1761     7     4.506  2.488     0.208  1.219    -1.094  1.251    -0.909  1.148       NaN    NaN
  1761     8     0.246  2.247     0.374  0.937    -1.063  1.188    -0.896  1.132       NaN    NaN
  1761     9    -0.389  2.811     0.174  0.866    -1.052  1.186    -0.890  1.132       NaN    NaN
  1761    10    -2.169  2.885     0.318  0.818    -1.021  1.209    -0.878  1.130       NaN    NaN
  1761    11    -1.594  3.046     0.097  0.838    -1.007  1.276    -0.844  1.140       NaN    NaN
  1761    12    -5.813  3.628    -0.180  0.868    -1.035  1.271    -0.827  1.081       NaN    NaN
  1762     1     3.610  4.066    -0.546  0.967    -1.029  1.294    -0.824  1.071       NaN    NaN
  1762     2     2.149  6.082    -0.663  0.896    -1.053  1.308    -0.831  1.048       NaN    NaN
  1762     3    -1.411  3.725    -0.850  0.985    -1.070  1.289    -0.817  1.042       NaN    NaN
  1762     4    -0.084  2.532    -0.942  0.921    -1.034  1.240    -0.828  1.076       NaN    NaN
  1762     5    -1.228  3.938    -0.833  0.873    -0.991  1.184    -0.845  1.081       NaN    NaN
  1762     6     0.032  3.056    -0.504  0.818    -0.882  1.038    -0.866  1.099       NaN    NaN
  1762     7     0.110  1.891    -0.970  0.992    -0.795  0.962    -0.900  1.129       NaN    NaN
  1762     8    -1.159  1.820    -1.303  1.323    -0.790  0.990    -0.917  1.090       NaN    NaN
  1762     9    -2.628  3.808    -1.467  1.721    -0.720  0.959    -0.933  1.052    -0.782  0.251
  1762    10    -3.274  1.717    -1.557  1.662    -0.681  0.924    -0.906  1.019    -0.774  0.251
  1762    11    -0.296  1.878    -1.565  1.512    -0.665  0.899    -0.865  1.001    -0.768  0.251
  1762    12    -1.859  5.292    -1.671  1.506    -0.682  0.959    -0.848  0.960    -0.759  0.526
  1763     1    -1.981  4.013    -1.532  1.375    -0.657  0.819    -0.846  0.930    -0.767  0.538
  1763     2    -1.850  3.160    -1.508  1.553    -0.649  0.811    -0.858  0.968    -0.767  0.535
  1763     3    -3.374  3.782    -1.419  1.376    -0.635  0.781    -0.875  0.998    -0.774  0.543
  1763     4    -1.171  1.721    -1.476  1.614    -0.610  0.764    -0.870  0.970    -0.766  0.529
  1763     5    -1.317  1.909    -1.606  1.666    -0.591  0.789    -0.869  0.960    -0.760  0.528
  1763     6    -1.248  2.873    -1.450  1.346    -0.564  0.772    -0.874  0.958    -0.767  0.526
  1763     7     1.780  1.346    -1.343  1.417    -0.573  0.781    -0.870  0.945    -0.769  0.524
  1763     8    -0.864  2.270    -0.950  1.318    -0.557  0.805    -0.855  0.928    -0.766  0.514
  1763     9    -1.564  1.651    -0.671  1.172    -0.569  0.818    -0.841  0.912    -0.765  0.511
  1763    10    -3.959  4.088    -0.677  1.329    -0.544  0.822    -0.797  0.843    -0.763  0.507
  1763    11    -1.857  2.067    -0.648  1.602    -0.567  0.811    -0.809  0.791    -0.767  0.518
  1763    12     0.014  3.393    -0.696  1.530    -0.624  0.842    -0.803  0.748    -0.740  0.514
  1764     1    -0.694  2.612    -1.005  1.720    -0.714  0.873    -0.820  0.704    -0.745  0.500
  1764     2     2.866  2.950    -1.056  1.556    -0.717  0.878    -0.838  0.664    -0.722  0.489
  1764     3    -0.031  2.001    -1.020  1.438    -0.702  0.890    -0.840  0.653    -0.717  0.493
  1764     4    -1.233  3.224    -0.616  1.121    -0.676  0.850    -0.808  0.645    -0.721  0.508
  1764     5    -0.975  1.368    -0.452  1.038    -0.622  0.833    -0.779  0.630    -0.700  0.497
  1764     6    -1.825  2.264    -0.259  0.942    -0.537  0.737    -0.763  0.613    -0.696  0.493
  1764     7    -1.929  2.812    -0.084  0.886    -0.647  0.773    -0.743  0.603    -0.688  0.487
  1764     8    -1.470  1.032    -0.312  0.870    -0.678  0.794    -0.743  0.600    -0.680  0.484
  1764     9    -1.140  2.767    -0.216  0.858    -0.632  0.792    -0.748  0.597    -0.677  0.481
  1764    10     0.891  2.379    -0.057  0.810    -0.666  0.805    -0.770  0.587    -0.680  0.488
  1764    11     0.117  2.236    -0.016  0.950    -0.663  0.752    -0.774  0.571    -0.691  0.503
  1764    12     2.326  3.545    -0.085  0.818    -0.643  0.730    -0.772  0.537    -0.702  0.502
  1765     1     1.400  5.129     0.035  0.946    -0.663  0.737    -0.744  0.522    -0.685  0.508
  1765     2     0.141  3.525     0.117  0.893    -0.627  0.755    -0.738  0.536    -0.662  0.514
  1765     3     1.110  2.270     0.138  0.868    -0.586  0.701    -0.746  0.524    -0.649  0.523
  1765     4     0.685  1.455    -0.032  0.820    -0.533  0.686    -0.720  0.497    -0.652  0.522
  1765     5    -0.486  1.342    -0.049  0.787    -0.490  0.644    -0.719  0.494    -0.656  0.521
  1765     6    -2.657  1.612    -0.295  0.786    -0.488  0.574    -0.719  0.497    -0.669  0.530
  1765     7    -0.489  2.116    -0.677  1.178    -0.532  0.616    -0.726  0.477    -0.667  0.529
  1765     8    -0.488  1.719    -0.593  1.147    -0.553  0.656    -0.736  0.475    -0.658  0.527
  1765     9    -0.883  1.212    -0.663  1.219    -0.554  0.644    -0.731  0.468    -0.658  0.523
  1765    10    -1.150  1.781    -0.748  1.256    -0.557  0.634    -0.712  0.464    -0.649  0.527
  1765    11    -0.086  2.309    -0.706  1.326    -0.571  0.630    -0.701  0.461    -0.637  0.548
  1765    12    -0.622  2.665    -0.486  1.289    -0.567  0.597    -0.670  0.455    -0.635  0.538
  1766     1    -3.191  5.958    -0.521  1.565    -0.604  0.589    -0.626  0.455    -0.652  0.553
  1766     2     1.156  3.639    -0.473  1.583    -0.609  0.580    -0.659  0.459    -0.659  0.546
  1766     3     0.265  2.125    -0.359  1.697    -0.600  0.564    -0.691  0.458    -0.660  0.531
  1766     4    -0.332  2.094    -0.315  1.570    -0.557  0.540    -0.697  0.456    -0.669  0.536
  1766     5     0.015  1.317    -0.169  1.436    -0.545  0.535    -0.722  0.453    -0.684  0.514
  1766     6    -0.014  3.758    -0.177  1.372    -0.555  0.524    -0.746  0.447    -0.685  0.520
  1766     7    -0.912  2.703    -0.162  1.106    -0.545  0.526    -0.788  0.442    -0.683  0.520
  1766     8     0.088  1.876    -0.234  0.896    -0.613  0.538    -0.786  0.443    -0.673  0.513
  1766     9     0.482  1.931    -0.144  0.869    -0.627  0.552    -0.787  0.449    -0.678  0.511
  1766    10    -0.614  1.698    -0.290  0.905    -0.595  0.557    -0.758  0.453    -0.674  0.515
  1766    11     1.666  2.192    -0.378  0.909    -0.550  0.611    -0.752  0.455    -0.666  0.525
  1766    12    -0.725  2.811    -0.275  0.965    -0.492  0.644    -0.708  0.468    -0.649  0.507
  1767     1    -3.014  4.926    -0.291  0.955    -0.456  0.672    -0.748  0.461    -0.621  0.512
  1767     2     0.301  5.091    -0.217  0.973    -0.434  0.691    -0.782  0.477    -0.620  0.521
  1767     3     1.339  4.256    -0.271  1.032    -0.425  0.697    -0.792  0.477    -0.621  0.529
  1767     4    -2.079  2.722    -0.227  1.024    -0.505  0.693    -0.786  0.470    -0.628  0.542
  1767     5    -1.046  1.801    -0.172  1.198    -0.557  0.675    -0.790  0.466    -0.633  0.542
  1767     6     1.228  1.467    -0.261  1.273    -0.663  0.639    -0.799  0.465    -0.654  0.545
  1767     7    -1.101  2.345    -0.393  1.115    -0.693  0.656    -0.800  0.466    -0.674  0.550
  1767     8     0.972  1.174    -0.679  0.898    -0.687  0.652    -0.787  0.465    -0.692  0.535
  1767     9    -0.165  1.913    -1.073  0.938    -0.772  0.657    -0.777  0.461    -0.704  0.523
  1767    10    -0.088  1.720    -1.014  0.883    -0.759  0.694    -0.748  0.465    -0.701  0.511
  1767    11     2.321  4.297    -1.109  0.911    -0.772  0.695    -0.728  0.465    -0.692  0.508
  1767    12    -1.784  3.620    -1.294  0.864    -0.756  0.740    -0.690  0.474    -0.679  0.497
  1768     1    -4.606  3.677    -1.237  0.815    -0.795  0.700    -0.700  0.473    -0.659  0.477
  1768     2    -3.132  5.390    -1.416  0.825    -0.824  0.688    -0.701  0.476    -0.642  0.478
  1768     3    -3.382  3.217    -1.490  0.834    -0.826  0.706    -0.683  0.475    -0.642  0.479
  1768     4    -1.375  1.562    -1.595  0.872    -0.814  0.713    -0.663  0.480    -0.626  0.471
  1768     5    -2.185  1.569    -1.884  0.928    -0.811  0.757    -0.639  0.483    -0.617  0.465
  1768     6    -0.996  1.510    -1.781  0.947    -0.777  0.785    -0.635  0.495    -0.623  0.463
  1768     7    -0.407  2.307    -1.408  1.249    -0.679  0.840    -0.648  0.499    -0.617  0.469
  1768     8    -1.181  1.445    -1.245  1.555    -0.762  0.824    -0.641  0.509    -0.611  0.464
  1768     9    -1.054  2.282    -1.039  1.922    -0.814  0.808    -0.623  0.511    -0.596  0.464
  1768    10    -1.351  2.378    -0.867  1.795    -0.850  0.807    -0.589  0.522    -0.575  0.448
  1768    11    -1.140  3.267    -0.542  2.012    -0.877  0.768    -0.592  0.525    -0.586  0.442
  1768    12    -0.555  4.517    -0.318  2.032    -0.869  0.824    -0.573  0.534    -0.587  0.434
  1769     1    -0.130  4.662    -0.266  1.980    -0.863  0.855    -0.590  0.547    -0.600  0.428
  1769     2    -1.177  3.388    -0.180  2.140    -0.855  0.883    -0.602  0.560    -0.599  0.422
  1769     3    -0.908  3.340    -0.145  2.032    -0.872  0.909    -0.601  0.568    -0.592  0.423
  1769     4     0.696  3.809    -0.358  1.973    -0.841  0.895    -0.575  0.580    -0.574  0.422
  1769     5     1.706  4.158    -0.513  1.750    -0.882  0.894    -0.525  0.632    -0.556  0.420
  1769     6     1.693  1.887    -0.801  1.429    -0.879  0.900    -0.495  0.649    -0.561  0.419
  1769     7     0.216  2.402    -0.825  1.490    -0.848  0.811    -0.461  0.670    -0.555  0.419
  1769     8    -0.150  2.559    -0.685  1.379    -0.886  0.741    -0.445  0.667    -0.556  0.424
  1769     9    -0.634  1.314    -0.940  1.423    -0.952  0.714    -0.443  0.658    -0.555  0.426
  1769    10    -3.905  2.275    -0.879  1.509    -0.907  0.734    -0.456  0.646    -0.550  0.428
  1769    11    -2.998  1.884    -1.126  1.331    -0.918  0.736    -0.482  0.640    -0.541  0.426
  1769    12    -4.014  2.419    -1.408  1.164    -0.955  0.725    -0.524  0.627    -0.527  0.420
  1770     1    -0.418  3.945    -1.662  0.965    -0.937  0.736    -0.521  0.619    -0.512  0.418
  1770     2     0.505  3.603    -1.832  0.856    -0.946  0.761    -0.499  0.617    -0.508  0.417
  1770     3    -3.967  2.244    -1.865  0.899    -0.968  0.768    -0.491  0.613    -0.495  0.416
  1770     4     1.428  2.252    -1.576  0.882    -0.962  0.774    -0.502  0.607    -0.466  0.420
  1770     5    -1.257  1.620    -1.316  1.001    -0.966  0.767    -0.498  0.603    -0.441  0.422
  1770     6    -1.693  2.314    -0.863  1.269    -0.892  0.759    -0.487  0.626    -0.429  0.424
  1770     7    -2.829  3.126    -0.605  1.366    -0.867  0.717    -0.481  0.619    -0.413  0.425
  1770     8    -2.193  2.099    -0.964  1.428    -0.849  0.745    -0.471  0.619    -0.412  0.428
  1770     9    -1.033  1.958    -0.873  1.257    -0.812  0.780    -0.472  0.618    -0.417  0.429
  1770    10    -0.429  1.904    -1.203  0.900    -0.770  0.801    -0.453  0.619    -0.405  0.431
  1770    11     0.117  3.883    -1.230  0.768    -0.707  0.820    -0.432  0.620    -0.396  0.427
  1770    12     1.418  2.949    -1.049  0.814    -0.702  0.824    -0.443  0.613    -0.391  0.422
  1771     1     2.686  2.728    -0.858  0.959    -0.692  0.813    -0.445  0.601    -0.380  0.421
  1771     2    -3.811  3.019    -0.630  1.108    -0.673  0.825    -0.443  0.599    -0.384  0.418
  1771     3    -2.866  3.033    -0.589  1.101    -0.645  0.796    -0.455  0.600    -0.390  0.416
  1771     4    -2.533  2.109    -0.447  1.103    -0.620  0.785    -0.461  0.606    -0.388  0.414
  1771     5    -1.585  3.878    -0.524  1.006    -0.639  0.735    -0.469  0.621    -0.394  0.416
  1771     6     0.484  1.811    -0.690  1.153    -0.592  0.731    -0.461  0.637    -0.415  0.416
  1771     7    -0.545  1.275    -1.009  1.232    -0.635  0.755    -0.457  0.647    -0.433  0.417
  1771     8     0.548  1.695    -0.858  1.270    -0.592  0.772    -0.449  0.647    -0.433  0.416
  1771     9    -0.543  1.888    -0.836  1.161    -0.576  0.772    -0.466  0.651    -0.439  0.417
  1771    10     1.280  1.658    -0.574  1.085    -0.556  0.755    -0.471  0.643    -0.432  0.418
  1771    11    -0.812  2.138    -0.585  1.036    -0.500  0.776    -0.488  0.630    -0.419  0.417
  1771    12    -0.577  3.410    -0.704  1.040    -0.498  0.782    -0.471  0.622    -0.395  0.419
  1772     1    -1.132  5.315    -0.664  1.111    -0.466  0.797    -0.417  0.607    -0.418  0.415
  1772     2    -2.000  4.417    -0.670  1.118    -0.456  0.769    -0.409  0.589    -0.438  0.412
  1772     3    -2.610  3.795    -0.750  1.138    -0.461  0.760    -0.424  0.578    -0.443  0.413
  1772     4     0.618  3.213    -0.836  1.117    -0.406  0.735    -0.428  0.577    -0.441  0.411
  1772     5    -1.718  1.490    -0.592  1.112    -0.406  0.707    -0.421  0.579    -0.437  0.411
  1772     6    -0.952  2.718    -0.322  0.999    -0.386  0.719    -0.442  0.589    -0.435  0.412
  1772     7    -0.055  1.699    -0.489  0.861    -0.349  0.694    -0.448  0.597    -0.437  0.414
  1772     8     0.469  2.434    -0.494  0.948    -0.310  0.688    -0.467  0.600    -0.425  0.413
  1772     9    -1.501  2.602    -0.374  0.834    -0.211  0.675    -0.474  0.601    -0.412  0.414
  1772    10     0.249  1.912    -0.327  0.833    -0.244  0.637    -0.495  0.599    -0.399  0.414
  1772    11     2.119  3.261    -0.050  0.829    -0.223  0.629    -0.520  0.591    -0.401  0.415
  1772    12     2.660  3.321    -0.029  0.910    -0.217  0.623    -0.510  0.581    -0.402  0.413
  1773     1    -3.131  2.850    -0.012  0.967    -0.166  0.646    -0.472  0.591    -0.411  0.410
  1773     2    -2.067  2.937    -0.055  0.998    -0.118  0.663    -0.426  0.600    -0.394  0.411
  1773     3    -1.167  2.018     0.125  1.027    -0.117  0.651    -0.410  0.624    -0.381  0.409
  1773     4     1.179  3.075     0.115  1.019    -0.091  0.647    -0.381  0.625    -0.375  0.410
  1773     5     1.604  1.592    -0.249  1.200    -0.054  0.601    -0.364  0.639    -0.365  0.412
  1773     6    -0.703  1.543    -0.285  1.218    -0.109  0.593    -0.372  0.650    -0.355  0.415
